,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian Wildcats,11,7,4,0.636,-7.63,0.24,,,,,5,0,,1,3,,800,753,,68.6,106.1,0.344,0.333,0.532,55,56.1,14.9,12.1,0.501,17,39.1,0.237
2,Air Force Falcons,12,3,9,0.25,-10.34,-1.67,,0,1,,3,5,,0,3,,786,890,,67.2,97.5,0.437,0.407,0.539,47.9,56.1,9.3,8.9,0.51,19,25.5,0.281
3,Akron Zips,11,8,3,0.727,13.12,-0.18,,,,,5,0,,1,1,,1054,863,,74.3,128.9,0.291,0.432,0.627,53.1,59.6,10.2,9.7,0.606,11.8,36.2,0.215
4,Alabama Crimson Tide,11,8,3,0.727,24.81,12.72,,,,,4,1,,1,0,,1035,902,,76.5,122.9,0.356,0.53,0.601,50.7,54.4,9.9,15.7,0.568,12.1,32.5,0.27
5,Alabama A&M Bulldogs,11,6,5,0.545,-7.89,2.11,,,,,6,0,,0,4,,728,790,,68.3,96.9,0.389,0.345,0.502,48.9,44.9,8.1,8.5,0.458,15.6,26.6,0.273
6,Alabama State Hornets,11,3,8,0.273,-10.61,1.29,,,,,1,0,,1,7,,843,906,,72.8,105.3,0.319,0.368,0.528,49.1,51.2,11.2,9.6,0.501,14.6,32.9,0.215
7,Albany Great Danes,13,4,9,0.308,-12.71,2.09,,,,,2,0,,1,6,,982,990,,71.2,106.1,0.259,0.382,0.542,50.4,54.5,11.2,9.4,0.529,15.7,32.3,0.159
8,Alcorn State Braves,10,1,9,0.1,-19.73,4.07,,,,,0,0,,0,9,,665,903,,72.1,92.2,0.251,0.353,0.521,43.1,41,11,11.7,0.506,21.9,28.4,0.154
9,American Eagles,12,7,5,0.583,-4.73,-2.33,,,,,7,1,,0,4,,981,880,,72.1,113.4,0.338,0.458,0.574,48.9,50.6,12.5,4.7,0.541,14.3,28.7,0.251
10,App State Mountaineers,13,8,5,0.615,-5.4,-3.4,,1,0,,5,1,,2,4,,965,853,,65.5,112.3,0.361,0.441,0.544,52.6,51,8,12.1,0.527,13.3,35.2,0.221
11,Arizona Wildcats,10,10,0,1,29.96,7.36,,,,,6,0,,1,0,,900,674,,73,123.3,0.413,0.272,0.61,59,58.5,12.2,11.1,0.579,14.6,40.9,0.301
12,Arizona State Sun Devils,12,9,3,0.75,10.96,5.54,,,,,4,1,,1,1,,965,900,,71.2,113,0.448,0.396,0.581,49.4,51.4,10.4,11.6,0.539,13.9,28.9,0.331
13,Arkansas Razorbacks,11,9,2,0.818,21.93,5.2,,,,,8,0,,0,1,,989,805,,73.4,122.4,0.387,0.383,0.599,51.9,58.7,11.5,12.1,0.56,11.4,32.6,0.3
14,Arkansas State Red Wolves,12,8,4,0.667,-1.53,-1.71,,1,0,,4,0,,4,4,,973,943,,72.9,110.1,0.357,0.42,0.562,54.1,52.1,9.7,5.9,0.518,17.1,36.6,0.278
15,Arkansas Pine Bluff Golden Lions,13,3,10,0.231,-16.21,8.07,,,,,2,0,,1,10,,1025,1177,,77.8,101.3,0.266,0.379,0.531,48.3,59.5,9.8,8.9,0.495,16.9,29.9,0.205
16,Army West Point Black Knights,12,5,7,0.417,-14.56,-1.96,,,,,3,3,,2,3,,871,915,,69.5,103.4,0.237,0.539,0.523,50.7,57.4,8.5,3.1,0.495,15.3,30.7,0.175
17,Auburn Tigers,11,8,3,0.727,17.71,8.08,,,,,5,0,,0,1,,951,845,,70.4,121.5,0.467,0.401,0.586,54.1,47.8,11,12.5,0.544,13,39.7,0.343
18,Austin Peay Governors,10,5,5,0.5,0.25,1.36,,,,,3,0,,2,5,,763,692,,71.8,106.2,0.311,0.439,0.539,49.3,61.9,14.8,7.6,0.51,14.5,29.4,0.217
19,Ball State Cardinals,11,3,8,0.273,-15.75,-7.85,,,,,2,2,,0,5,,714,763,,67.3,96.4,0.313,0.402,0.486,46.9,53.9,11.3,9.8,0.455,15.3,28.8,0.207
20,Baylor Bears,9,7,2,0.778,15.78,6.45,,,,,5,0,,0,1,,799,715,,72.8,121.9,0.391,0.371,0.581,54.3,51.6,9.5,10.5,0.543,12.9,41.2,0.291
21,Bellarmine Knights,11,5,6,0.455,-6.15,1.85,,,,,3,2,,1,4,,855,849,,68.3,113.8,0.334,0.392,0.62,47,53.3,11.2,5.1,0.583,16.2,21.8,0.271
22,Belmont Bruins,12,11,1,0.917,9.27,-4.36,,2,0,,5,1,,4,0,,1026,829,,73,117.2,0.317,0.452,0.617,53.6,60.2,9.3,10.5,0.605,16.4,29.9,0.209
23,Bethune Cookman Wildcats,11,3,8,0.273,-11.06,5.64,,,,,2,0,,1,6,,777,903,,69.8,100.1,0.321,0.3,0.508,45.4,46.8,11.3,10.3,0.48,14.2,28.1,0.213
24,Binghamton Bearcats,12,3,9,0.25,-23.16,-8.16,,,,,3,3,,0,5,,784,913,,65.9,98.1,0.493,0.348,0.536,49.8,52.2,7.9,9.1,0.477,19.4,27.6,0.37
25,Boise State Broncos,11,8,3,0.727,18.14,10.48,,,,,5,1,,1,0,,858,764,,70.2,111.2,0.385,0.393,0.561,56.2,53.1,6.7,4.8,0.515,14.9,33.6,0.297
26,Boston College Eagles,11,5,6,0.455,0.4,-2.51,,,,,4,2,,1,1,,774,742,,66.4,102.5,0.358,0.447,0.503,51.5,46.6,6.9,14,0.464,13,31.3,0.25
27,Boston U Terriers,12,4,8,0.333,-10.81,-4.17,,,,,2,2,,1,6,,882,908,,64.5,111.7,0.303,0.47,0.581,50.3,57,8.6,10.3,0.563,16.5,31.1,0.2
28,Bowling Green Falcons,11,8,3,0.727,8.91,-3.31,,,,,5,2,,1,1,,959,713,,74.3,117.4,0.4,0.358,0.591,53.5,53.6,17.1,12.9,0.554,13.6,31.2,0.298
29,Bradley Braves,12,8,4,0.667,3.95,-3.24,,1,0,,5,1,,1,1,,947,835,,69,110.9,0.383,0.444,0.556,48.4,49.2,14.5,11.1,0.521,12.7,27.7,0.274
30,BYU Cougars,11,10,1,0.909,27.71,7.35,,,,,4,0,,0,0,,942,718,,70,122.3,0.325,0.391,0.595,54.1,48.8,12.7,12.4,0.564,11.6,33.5,0.245
31,Brown Bears,12,5,7,0.417,-7.67,-6.3,,,,,3,3,,2,4,,850,784,,67,103.6,0.269,0.379,0.531,50.8,58.7,11.7,13.6,0.506,16,31,0.186
32,Bryant Bulldogs,12,3,9,0.25,-10.89,0.02,,,,,3,1,,0,8,,763,857,,67.7,94,0.267,0.516,0.503,48,60.2,9.6,10.7,0.468,18.3,26.1,0.198
33,Bucknell Bison,12,3,9,0.25,-11.84,-1.09,,,,,1,3,,2,4,,793,922,,68.2,96.9,0.317,0.436,0.511,48,53.9,10.3,7.6,0.471,17.3,28,0.233
34,Buffalo Bulls,11,9,2,0.818,-1.5,-6.6,,,,,4,1,,3,1,,852,785,,66.6,116.4,0.503,0.443,0.597,49.1,50.9,12,8.3,0.55,14.1,28.7,0.378
35,Butler Bulldogs,11,8,3,0.727,15.36,4.27,,1,1,,6,1,,0,2,,961,839,,72.4,118.1,0.45,0.353,0.571,54.5,56.4,10.1,9.3,0.541,13.4,39.1,0.303
36,Cal Poly Mustangs,12,5,7,0.417,-5.51,1.39,,1,1,,2,2,,3,4,,991,1032,,78.4,105.4,0.388,0.487,0.56,51.4,48.5,8.2,6.6,0.521,18.6,31.6,0.285
37,Cal State Bakersfield Roadrunners,13,5,8,0.385,-14.25,-3.34,,0,2,,4,2,,1,6,,956,1023,,72.8,101,0.487,0.291,0.521,48.2,44.4,11.3,15.4,0.46,17.3,33.6,0.362
